Shortname,Lat,Long,x,y
01.ORK3,62.83788937,9.91293367,546497.5129548179,6967857.128026884
02.ORK2,63.04509456,9.70142609,535473.6861586396,6990807.08735712
03.ORK1,63.203108,9.770769,538769.2323349814,7008452.012706453
04.GAU3,62.95476011,10.7296323,587738.030147099,6981728.35405263
05.GAU2,63.06824648,10.27713582,564535.9777429638,6993834.367143097
06.GAU1,63.28484101,10.26855214,563625.4407477207,7017955.205268644
07.NID3,63.28346171,10.46716877,573589.5531187678,7018014.003851343
08.NID2,63.3490928,10.43649894,571887.6042988987,7025290.563582504
09.NID1,63.38862,10.3836,569145.589370872,7029635.798982358
10.STJ2C,63.451754,11.271644,613265.0599062708,7037932.901569998
11.STJ2B,63.459272,11.191516,609242.373248026,7038630.9924886385
12.STJ2,63.46127341,11.10982894,605164.2287530183,7038717.143234218
13.VER3,63.82471755,11.97610248,646438.5780685837,7080896.452033381
14.VER2,63.77330095,11.73375565,634765.0147135024,7074637.669243319
15.VER1,63.77173726,11.57841349,627117.4466917588,7074144.990582543
16.OGN4,63.989437,11.974042,645481.543313734,7099231.465496482
17.OGN3,63.99497804,11.86322127,640035.6130713448,7099600.182381125
18.OGN1,64.01952279,11.53405337,623834.6814983811,7101651.914742931
19.NAM3,64.69352915,12.73158396,677902.689284822,7179539.561152736
20.NAM2B,64.477399,12.328373,659958.0870308849,7154408.105620093
21.NAM2,64.48256,12.02523,645370.8951017583,7154253.496340977
22.VEF3,65.51823803,13.62849389,713873.8142884423,7274080.899548991
23.VEF2,65.5868,13.38636,702167.4688458552,7280906.164777316
24.VEF1,65.742456,13.226596,693646.8011930098,7297719.747662242
25.RØS4,65.92373,13.8004,718353.5007832305,7319766.699479137
26.RØS3,66.02827722,13.84400861,719434.1101011664,7331544.459984185
27.RØS1,66.07440231,13.83751553,718743.7379602779,7336650.702004278
28.RAN4,66.41656,14.7512,756469.1602081499,7378152.138418641
29.RAN2,66.40623712,14.505296,745628.1596973916,7376016.788233746
30.RAN1,66.32501845,14.19910222,732745.6749718344,7365818.1855974
31.SAL4,66.8157016,15.397637,780659.2909507648,7425258.710831439
32.SAL3,66.86512106,15.3001341,775837.0866896217,7430308.4381566
33.SAL2,66.97728,15.31587,775256.3801038674,7442828.594160871
